superficie,Prix (F CFA),Adresse,Image Link
Non spécifié,6.000.000,"Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198488_uploaded_image1_1740245325.jpg
150,Prix.sur.demande,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193604_uploaded_image1_1739985447.jpg
150,Prix.sur.demande,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193596_uploaded_image1_1739985118.jpg
211,235.000.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5169803_uploaded_image1_1738686065.jpg
150,25.000.000,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193499_uploaded_image1_1739982838.jpg
150,12.000.000,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193477_uploaded_image1_1739982184.jpg
150,3.500.000,"Toubab Dialao, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198366_uploaded_image1_1740241292.jpg
189,110.000.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5169711_uploaded_image1_1738684243.jpg
8500000,20.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5188390_uploaded_image1_1739721719.jpg
375,15.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5188370_uploaded_image1_1739720621.jpg
150,85.000.000,"Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5177409_uploaded_image1_1739107606.jpg
600,22.000.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198319_uploaded_image1_1740238235.jpg
150,5.000.000,"Almadies 2, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5179205_uploaded_image1_1739199927.jpg
386,35.000.000,"Lac rose, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198235_uploaded_image1_1740233301.jpg
1000000,15.000,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5156832_uploaded_image1_1738059421.jpg
500,50.000.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5170185_uploaded_image1_1738700165.jpg
6,7.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5170154_uploaded_image1_1738699432.jpg
150,Prix.sur.demande,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5184614_uploaded_image1_1739468438.jpg
13000,4.000.000,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198085_uploaded_image1_1740224540.jpg
200,1.950.000,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5172277_uploaded_image1_1738801652.jpg
225,3.499.500,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5172279_uploaded_image1_1738801746.jpg
50443,25.000,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5173833_uploaded_image1_1738875548.jpg
150,65.000.000,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5197050_uploaded_image1_1740163097.jpg
1884,2.449.200.000,"Almadies, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5162752_uploaded_image1_1738343088.jpg
445,150.000.000,"Saint Louis, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5173431_uploaded_image1_1738860188.jpg
150,Prix.sur.demande,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5191724_uploaded_image1_1739895757.jpg
150,13.500.000,"Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196885_uploaded_image1_1740154366.jpg
300,5.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196809_uploaded_image1_1740152582.jpg
Non spécifié,67.000.000,"Almadies 2, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5191546_uploaded_image1_1739890171.68.jpeg
20304,300.000,"Ouest Foire, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5187104_uploaded_image1_1739630271.jpg
150,17.000.000,"Almadies 2, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5173499_uploaded_image1_1738862635.jpg
3723,22.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196508_uploaded_image1_1740139746.jpg
150,17.000.000,"Rufisque, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196402_uploaded_image1_1740134421.jpg
1001,565.000.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5166588_uploaded_image1_1738573953.jpg
200,140.000.000,"Dieuppeul-Derklé, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5152064_uploaded_image1_1737767255.jpg
287,15.000.000,"Sicap foire, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5152058_uploaded_image1_1737766784.jpg
294,149.000.000,"Mariste, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5166238_uploaded_image1_1738541521.jpg
150,Prix.sur.demande,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5161590_uploaded_image1_1738273309.jpg
216,60.000.000,"Ngor, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5161464_uploaded_image1_1738269005.jpg
150,40.000.000,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195479_uploaded_image1_1740073765.jpg
150,10.000.000,"Almadies 2, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5181121_uploaded_image1_1739294420.jpg
300,23.000.000,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195443_uploaded_image1_1740072631.jpg
Non spécifié,40.000,"Toubab Dialao, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5171598_uploaded_image1_1738771612.jpg
204,135.000.000,"Almadies, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5185964_uploaded_image1_1739546525.jpg
Non spécifié,30.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195250_uploaded_image1_1740065356.jpg
300,5.000.000,"Toubab Dialao, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195084_uploaded_image1_1740059188.jpg
10000,Prix.sur.demande,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195019_uploaded_image1_1740057159.jpg
300,2.500.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195000_uploaded_image1_1740056525.jpg
17722,40.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194983_uploaded_image1_1740056048.jpg
160,12.000.000,"Lac rose, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194949_uploaded_image1_1740054936.jpg
18800,3.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194940_uploaded_image1_1740054814.jpg
1000,35.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194902_uploaded_image1_1740053722.jpg
450,50.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194888_uploaded_image1_1740053371.jpg
Non spécifié,20.000.000,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194815_uploaded_image1_1740051261.2.jpeg
200,95.000.000,"Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5189307_uploaded_image1_1739790564.jpg
Non spécifié,15.000.000,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5194598_uploaded_image1_1740044867.jpg
150,22.000.000,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5150456_uploaded_image1_1737675170.jpg
300,18.000.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193868_uploaded_image1_1739994372.jpg
215,140.000.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5170063_uploaded_image1_1738695163.jpg
150,18.000.000,"Rufisque, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193731_uploaded_image1_1739989516.jpg
150,14.000.000,"Guediawaye, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5169931_uploaded_image1_1738689598.jpg
150,9.500.000,"Almadies 2, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5177615_uploaded_image1_1739119600.jpg
180,4.500.000,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193417_uploaded_image1_1739980963.jpg
300,9.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5147651_uploaded_image1_1737555037.jpg
300,15.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5147629_uploaded_image1_1737554469.jpg
500,27.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5147616_uploaded_image1_1737554003.jpg
300,16.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5147599_uploaded_image1_1737553441.jpg
150,7.000.000,"Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5185399_uploaded_image1_1739524722.jpg
150,39.999.000,"Cambérène, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5192372_uploaded_image1_1739923132.jpg
165,140.000.000,"Sacré-Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5167779_uploaded_image1_1738611038.jpg
180,160.000.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5167759_uploaded_image1_1738610024.jpg
2300,2.300.000,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5192024_uploaded_image1_1739905764.jpg
Non spécifié,30.000,"Mariste, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5151186_uploaded_image1_1737720344.jpg
150,14.000.000,"Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5191111_uploaded_image1_1739876930.jpg
150,Prix.sur.demande,"Guediawaye, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5189984_uploaded_image1_1739811583.jpg
Non spécifié,10.000.000,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5189978_uploaded_image1_1739811406.jpg
200,2.000.000,"Ndiass, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5189915_uploaded_image1_1739808596.jpg
300,15.000.000,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5189902_uploaded_image1_1739808259.jpg
150,25.000.000,"Guediawaye, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5189776_uploaded_image1_1739803362.jpg
500,5.500.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5189532_uploaded_image1_1739796321.jpg
150,4.200.000,"Rufisque, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5188960_uploaded_image1_1739756010.jpg
Non spécifié,1.000.000.000,"Point E, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5147659_uploaded_image1_1737555192.jpg
150,10.000.000,"Rufisque, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5147369_uploaded_image1_1737547007.jpg
Non spécifié,55.000.000,"Diamniadio, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5138832_uploaded_image1_1737061324.jpg
Non spécifié,6.000.000,"Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198488_uploaded_image1_1740245325.jpg
150,Prix.sur.demande,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193604_uploaded_image1_1739985447.jpg
150,Prix.sur.demande,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193596_uploaded_image1_1739985118.jpg
211,235.000.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5169803_uploaded_image1_1738686065.jpg
150,25.000.000,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193499_uploaded_image1_1739982838.jpg
150,12.000.000,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5193477_uploaded_image1_1739982184.jpg
150,3.500.000,"Toubab Dialao, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198366_uploaded_image1_1740241292.jpg
189,110.000.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5169711_uploaded_image1_1738684243.jpg
8500000,20.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5188390_uploaded_image1_1739721719.jpg
375,15.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5188370_uploaded_image1_1739720621.jpg
150,85.000.000,"Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5177409_uploaded_image1_1739107606.jpg
600,22.000.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198319_uploaded_image1_1740238235.jpg
150,5.000.000,"Almadies 2, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5179205_uploaded_image1_1739199927.jpg
386,35.000.000,"Lac rose, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198235_uploaded_image1_1740233301.jpg
1000000,15.000,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5156832_uploaded_image1_1738059421.jpg
500,50.000.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5170185_uploaded_image1_1738700165.jpg
6,7.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5170154_uploaded_image1_1738699432.jpg
150,Prix.sur.demande,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5184614_uploaded_image1_1739468438.jpg
13000,4.000.000,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5198085_uploaded_image1_1740224540.jpg
200,1.950.000,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5172277_uploaded_image1_1738801652.jpg
225,3.499.500,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5172279_uploaded_image1_1738801746.jpg
50443,25.000,"Thies, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5173833_uploaded_image1_1738875548.jpg
150,65.000.000,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5197050_uploaded_image1_1740163097.jpg
1884,2.449.200.000,"Almadies, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5162752_uploaded_image1_1738343088.jpg
445,150.000.000,"Saint Louis, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5173431_uploaded_image1_1738860188.jpg
150,Prix.sur.demande,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5191724_uploaded_image1_1739895757.jpg
150,13.500.000,"Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196885_uploaded_image1_1740154366.jpg
300,5.000.000,"Mbour, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196809_uploaded_image1_1740152582.jpg
Non spécifié,67.000.000,"Almadies 2, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5191546_uploaded_image1_1739890171.68.jpeg
20304,300.000,"Ouest Foire, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5187104_uploaded_image1_1739630271.jpg
150,17.000.000,"Almadies 2, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5173499_uploaded_image1_1738862635.jpg
3723,22.000,"Saly, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196508_uploaded_image1_1740139746.jpg
150,17.000.000,"Rufisque, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196402_uploaded_image1_1740134421.jpg
1001,565.000.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5166588_uploaded_image1_1738573953.jpg
200,140.000.000,"Dieuppeul-Derklé, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5152064_uploaded_image1_1737767255.jpg
287,15.000.000,"Sicap foire, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5152058_uploaded_image1_1737766784.jpg
294,149.000.000,"Mariste, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5166238_uploaded_image1_1738541521.jpg
150,Prix.sur.demande,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5161590_uploaded_image1_1738273309.jpg
216,60.000.000,"Ngor, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5161464_uploaded_image1_1738269005.jpg
150,40.000.000,"Keur Massar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5195479_uploaded_image1_1740073765.jpg
150,10.000.000,"Almadies 2, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5181121_uploaded_image1_1739294420.jpg
